Category,Description
Household,"Ilu Dream Catcher Wall Hanging Handmade Beaded Circular Net Decoration Ornament Size 16 Cm Diameter Color:Multicolor   This Is A Beautiful Legend About Indian. It Is Said That Both Good Dreams And Bad Dreams Circulate In The Night Air, The Dream Catcher Helps To Get Rid Of The Nightmare. Those Nightmares Are Mounted In The Net, Then Disappear At The First Light Of Dawn While Good Dreams Gently Slid Through The Center Hole Into Sleeper'S Mind. It'S Best Wishes Gift For Your Kids, Parents,Grandparents,Friends,Family And So On. This Beautiful Dream Catcher Is Wall Hanging Art And Great Gift! Plus Peaceful Dreams.For Home Decor Accents,Bedroom,Baby Tent,Kids' Wall Decor,Sitting Room,Balcony,Party Decorative Hanging Ornaments."
Electronics,"Protokart All in One USB Hub Combo 3 USB ports and all in one card reader, USB 2.0, for Pen drives/Cameras/Mobiles/PC/Laptop/Notebook/Tablet, Docking station, MS/MS Pro Duo/SD/MMC/M2/Micro SD support Powered by KGM Innovative Solutions  This product comes with 3 months warranty An all in one docking solution for your external storage connectivity. Can be docked to PC, Laptop, Mobile, Tablet. Supports USB 2.0 3 individual USB 2.0 extension ports and all in one card reader. Supports MS/MS Pro Duo/SD/MMC/M2/Micro SD. Maximum transmission speed of 480 MB/s Supports hot swap LED light for device status Operating temperature 10 ~ 70 degrees System support: Windows 98/ME/2000/XP/7/8.1/10, Linux 2.4, Mac OS."
Household,"@home by Nilkamal Aze Shoe Cabinet, Walnut Aze shoe cabinet."
Household,"DriftingWood Sheesham Wood Dining Table Set with 4 Chairs for Living Room | Breakfast Table with 4 Stool | Dark Brown Size:4 seater                                                                                 |                            Color:Dark Brown   It Would Go Great in Your Dining Room or Kitchen. This Dining Set Can Also Be Placed Outdoors or Even Used in Professional Settings Such as a Coffee Shop or Restaurant. This Dining Set Includes One Table, and Four Chairs. The beautiful craftsmanship makes this quite appealing to the eye, sure to draw in guests to awe over. The set has an extremely modern and contemporary look that helps you set up a stylish dining space in your home. Easily seating adults while still leaving you enough space on the table to arrange all the delicious dishes, it is just what you need for a beautiful dining room.Constructed from solid sheesham wood, this dining set is certain to be durable and long lasting for several years to come.Assembly : We encourage self assembly of products to help customers better & completely understand ther product they buy."
Clothing & Accessories,Rani Saahiba Women's Organza Dupatta Look your Ethnic best with this Rani Saahiba Dupatta. A must have clothing accessories for your ethnic dresses.
Electronics,"Samsung Galaxy Tab A 2017 SM-T385NZDAINS Tablet (8 inch, 16GB, Wi-Fi + 4G LTE + Voice Calling), Gold"
Household,Casio Analog Table Clock (TQ-140-7DF)
Books,Mosby's Review Questions for the National Board Dental Hygiene Examination 
Clothing & Accessories,"Nivia Hydra-1 Fitness Jersey Nivia Proudly Presents This Tshirt Made Out Of The Super Light Polyester Dry Fabric. This Fabric Transports Moisture Away From The Body, Keeping You Cool And Dry. Quick Dry Out and moisture management of the fabric offers coolness & dryness even in during highest level of sweat.With a Performance loose fit Nivia t-shirts are great for all sports, training, cross fit, running or wearing around the house. Available Colors: White, Orange, Black, Red."
Electronics,AmazonBasics 3-Feet DVI to DVI Cable AmazonBasics DVI to DVI Cable - 3 Feet (.9 Meters)
Household,"Tied Ribbons Snowflake Or Star Bisque Tealight Holder Set of 2 (Glass) (Multicolour) About the snowflake or star bisque: handmade turkey style mosaic glass t light holders from north india. Bringing a delightful array of designs and colors to you home. Hand made illustrious mosaic votives, created by skilled craftsman, who bring forth an enduring tradition of ""special"" light from the east. Cut glass pieces of assorted colors are carefully assembled together to produce special patterns. May be used for mood or accent lighting, and bring the perfect ambiance to that special room you want to create the holders sparkle and glow when the tea light is added, giving a warm and romantic light. These tea light holders come in a box of two as if we sold them individually it would cost almost as much to post as it would to buy - 2 presents in one these tea light holders are hand-crafted in india. These t-light holders are handmade using recycled glass by wfto (world fair trade organisation) accredited producers in india. They are made entirely by hand using traditional skills handed down from generation to generation. Due to the handmade nature of these products designs and exact colour may slightly vary but loveliness comes as standard. About tied ribbons: we're the pioneer seller of occasion gifting and conceptual home decor (rapidly expanding in india and internationally). As a business, we are creative, innovative and forward-thinking. As a team, we are supportive, passionate and absolute experts in what we do. Selection we offer continues to be core to our business and our commitment to impeccable craftsmanship is reflected in all we do."
Clothing & Accessories,Amante Rayon Color Blocked Chemise All you need for a good night's rest is this super soft modal chemise. It is made from soft modal cotton with a pretty lace trim that you're sure to fall in love with.
Clothing & Accessories,"Xs and Os Women Babydoll Nightwear Lingerie with Panty A tempting women babydoll lingerie with halter neck specially designed for your romantic nights . An alluring see through lingerie with half lace cups and it has a seductive lace web design on neck . Made from highly stretchable material . Will provide a perfect support to your bust . Comes with a discreet packaging . FREE SIZE lingerie , one Size fits most. Will fit well for size range: Bust ( 30 to 36 inch) , Waist ( 28 to 34 inch)."
Household,"Philips Avent Combined Steamer and Blender Color:Multi color   Product description As your kid turns around six months old, he needs to be fed food other than your breast-milk. Kids aged about six months are yet to develop their first complete set of teeth. Therefore their food should be reduced to a gooey paste, which they can easily swallow and digest likewise. Kids that young are generally fed pastes of rice, dal and boiled veggies. This Philips Avent Combined Steamer and Blender makes your task easier and lesser time demanding. As you must guess from the name, this Avent product boils your veggies and blends them thoroughly and smoothly, so that you don't need to take the pain of boiling your veggies in a separate pot, and then transferring them to a blender. Operating this steamer cum blender is very easy, which anyone in your family can operate�be it your young maid, or your not-so-tech-savvy mother-in-law. How to operate this steamer cum blender As mentioned before, operating this steamer cum blender is very easy. Remove the lid of the container, and put your ingredients into it. Wash meat, fish or veggies well before you load your ingredients. Fill the container with the required amount of water. Place the jar on the lower machine as directed. Allow it the time required to boil your ingredients well. The machine will signal you when the steaming is done. You should then flip the container over and put back onto the lower machine for the blending. Other uses of this Philips Avent Combined Steamer and Blender Other than boiling and pasting food for your baby, this blender can also prepare delectable sauces, desserts and finger food. You can also prepare smoothies, souffl�s, shakes, trinity cream, custard and the like, with the help of this blender. You can find this steamer cum blender from Avent on the internet for purchase. Before you buy this steamer cum blender online, let Junglee.com assist you in finding the lowest possible retailer on the internet. Various features of this steamer cum blender It lets you prepare twelve recipes that are suitable for your baby. It retains the juice that results from boiling vegetables, which it uses later in blending the same. Also, it provides you with advice from paediatricians and experienced nutritionists, so that you can facilitate and accelerate your baby's growth. From the Manufacturer Unique Baby Food Maker Prepare homemade food as per your baby's requirements and taste with the Philips Avent steamer and blender. The Avent steamer and blender offer a great system that enables you to steam cook the ingredients together. You also do not have to transfer the food into another jar to blend once the cooking is done. Simply turn the jar upside down and with a press of button you can blend the food that you have cooked. This means you have fewer utensils to clean. Additionally, the Avent combined steamer and blender comes in a compact and elegant design that will make it an excellent addition to your kitchen. With a special safety lock and jar detection system, this steamer blender is safe to use.BPA-free Material This Philips Avent combined steamer blender is easy to operate and lets you prepare purees for your little one that are easy to digest. Made out of BPA-free material, the Avent Philips steamer blender comes with a 700-mm cord. Just plug the device in the kitchen and you are all set to cook. The steamer runs on 400 W at a voltage of 220 to 240 V with a frequency of 50 to 60 Hz and the blender comes with a jar that has a capacity of 800 (solids)/ 450 (liquids) ml. Its efficient blades let you blend the food with ease. Brand: Philips Sub Brand: Avent Made out of BPA-free material Dimensions: 193 x 243 x 344 Special Safety Lock Jar Detection System Weight: 2 kg Powerful blending"
